臺灣 Taiwan,#genre#
CGTN,http://samuelwongvv.serv00.net/Smartv.php?id=CGTN
鳳凰資訊,http://samuelwongvv.serv00.net/Smartv.php?id=phoenixinfo_hd
體育 Sports,#genre#
Supersports 1,http://samuelwongvv.serv00.net/Smartv.php?id=Assp1
Supersports 1(備用),http://samuelwongvv.serv00.net/Smartv.php?id=go_assp1
Supersportq 1(備用2),http://samuelwongvv.serv00.net/Smartv.php?id=Assp1_mega
Supersports 2,http://samuelwongvv.serv00.net/Smartv.php?id=Assp2
Supersports 2(備用),http://samuelwongvv.serv00.net/Smartv.php?id=go_assp2
Supersports 3,http://samuelwongvv.serv00.net/Smartv.php?id=Assp3
Supersports 3(備用),http://samuelwongvv.serv00.net/Smartv.php?id=go_assp3
Supersports 3(備用2),http://samuelwongvv.serv00.net/Smartv.php?id=Assp3_mega
Supersports 4,http://samuelwongvv.serv00.net/Smartv.php?id=Assp4_mega
Supersports 4(備用),http://samuelwongvv.serv00.net/Smartv.php?id=go_assp4
Supersports 5,http://samuelwongvv.serv00.net/Smartv.php?id=go_assp5
Bein 2HD,http://samuelwongvv.serv00.net/Smartv.php?id=Beinhd
Beinsports HD,http://samuelwongvv.serv00.net/Smartv.php?id=Besports
Champion 5 EPL,http://samuelwongvv.serv00.net/Smartv.php?id=Champion5epl
WWE,http://samuelwongvv.serv00.net/Smartv.php?id=Wwe
Champion 6 EPL,http://samuelwongvv.serv00.net/Smartv.php?id=Champion6epl
Fight Sports,http://samuelwongvv.serv00.net/Smartv.php?id=Fs
UFC Network,http://samuelwongvv.serv00.net/Smartv.php?id=ufc_mega
NBA TV,http://samuelwongvv.serv00.net/Smartv.php?id=nbatv_twn
Astro Cricket,http://samuelwongvv.serv00.net/Smartv.php?id=Acricket_mega
Astro Golf,http://samuelwongvv.serv00.net/Smartv.php?id=Agolf
TNT Sports 1,http://samuelwongvv.serv00.net/Smartv.php?id=beeone
TNT Sports 2,http://samuelwongvv.serv00.net/Smartv.php?id=beetwo
TNT Sports 3,http://samuelwongvv.serv00.net/Smartv.php?id=beethree
TNT Sports 4,http://samuelwongvv.serv00.net/Smartv.php?id=beefour
Sony Ten 1,http://samuelwongvv.serv00.net/Smartv.php?id=ten1_raj
Sony Ten 2,http://samuelwongvv.serv00.net/Smartv.php?id=ten2_raj
Sony Ten 3,http://samuelwongvv.serv00.net/Smartv.php?id=ten3_raj
SPOTV 1 HD,http://samuelwongvv.serv00.net/Smartv.php?id=go_spotv
SPO TV 2,http://samuelwongvv.serv00.net/Smartv.php?id=go_spotv2
Beinsports 2 HD,http://samuelwongvv.serv00.net/Smartv.php?id=Bein2hd
Skysports Arena,http://samuelwongvv.serv00.net/Smartv.php?id=tiankongarena
Skysports F1,http://samuelwongvv.serv00.net/Smartv.php?id=tiankongf1
Skysports Cricket,http://samuelwongvv.serv00.net/Smartv.php?id=tiankongcricket
Skysports EPL,http://samuelwongvv.serv00.net/Smartv.php?id=tiankongepl
Skysports Football,http://samuelwongvv.serv00.net/Smartv.php?id=tiankongfootball
Skysports Golf,http://samuelwongvv.serv00.net/Smartv.php?id=tiankonggolf
Skysports Main Event,http://samuelwongvv.serv00.net/Smartv.php?id=tiankongmain
Skysports News,http://samuelwongvv.serv00.net/Smartv.php?id=tiankongnews
Skysports NFL,http://samuelwongvv.serv00.net/Smartv.php?id=tiankongnfl
Skysports Racing,http://samuelwongvv.serv00.net/Smartv.php?id=tiankongracing
Skysports Mix,http://samuelwongvv.serv00.net/Smartv.php?id=tiankongmix
CCTV-5,http://samuelwongvv.serv00.net/Smartv.php?id=cctv5
CCTV-5+,http://samuelwongvv.serv00.net/Smartv.php?id=cctv5plus
愛爾達體育2台,http://samuelwongvv.serv00.net/Smartv.php?id=eltasport2_twn
愛爾達體育3台,http://samuelwongvv.serv00.net/Smartv.php?id=eltasport3_twn
RTM Sports HD,http://samuelwongvv.serv00.net/Smartv.php?id=Rtmsport
Arena,http://samuelwongvv.serv00.net/Smartv.php?id=Arena
Arena 2,http://samuelwongvv.serv00.net/Smartv.php?id=Arena2
BolaArena 1,http://samuelwongvv.serv00.net/Smartv.php?id=Bolaarena1
Bein 1 Sports,http://samuelwongvv.serv00.net/Smartv.php?id=bein1_mega
Bein 2 Sports,http://samuelwongvv.serv00.net/Smartv.php?id=bein2_mega
Bein 3 Sports,http://samuelwongvv.serv00.net/Smartv.php?id=bein3_mega
Bein 4 Sports,http://samuelwongvv.serv00.net/Smartv.php?id=bein4_mega
Bein 5 Sports,http://samuelwongvv.serv00.net/Smartv.php?id=bein5_mega
Bein 6 Sports,http://samuelwongvv.serv00.net/Smartv.php?id=bein6_mega
Bein 7 Sports,http://samuelwongvv.serv00.net/Smartv.php?id=bein7_mega
Rugby Pass TV,http://samuelwongvv.serv00.net/Smartv.php?id=Rugbypasstv
BolaArena 2,http://samuelwongvv.serv00.net/Smartv.php?id=Bolaarena2
印度 Indian,#genre#
Sun TV HD,http://samuelwongvv.serv00.net/Smartv.php?id=Suntv
Star Vijay,http://samuelwongvv.serv00.net/Smartv.php?id=Starvijay
Colors Tamil,http://samuelwongvv.serv00.net/Smartv.php?id=Colorstam_mega
Sun Music,http://samuelwongvv.serv00.net/Smartv.php?id=Sunmusic
Astro Sunlife,http://samuelwongvv.serv00.net/Smartv.php?id=Sunlife
Astro Vaanavil,http://samuelwongvv.serv00.net/Smartv.php?id=Vaanavil
Zee Tamil,http://samuelwongvv.serv00.net/Smartv.php?id=Zeetamil
Zee Business,http://samuelwongvv.serv00.net/Smartv.php?id=Zeebusiness
News 18 Tamil,http://samuelwongvv.serv00.net/Smartv.php?id=news18tamil_raj
Adithya,http://samuelwongvv.serv00.net/Smartv.php?id=Adithya
Makkal TV,http://samuelwongvv.serv00.net/Smartv.php?id=Makkaltv
Zee Action,http://samuelwongvv.serv00.net/Smartv.php?id=Zeeaction
Astro KTV,http://samuelwongvv.serv00.net/Smartv.php?id=Astroktv
Zee TV HD,http://samuelwongvv.serv00.net/Smartv.php?id=Zeetvhd
Zee Cinema HD,http://samuelwongvv.serv00.net/Smartv.php?id=Zeecinemahd
Color HD,http://samuelwongvv.serv00.net/Smartv.php?id=Colorhd
Starplus HD,http://samuelwongvv.serv00.net/Smartv.php?id=Starplushd
Picture HD,http://samuelwongvv.serv00.net/Smartv.php?id=Npicture
Zee News,http://samuelwongvv.serv00.net/Smartv.php?id=Zeenews
Asianet,http://samuelwongvv.serv00.net/Smartv.php?id=asianet_raj
Asianet News,http://samuelwongvv.serv00.net/Smartv.php?id=asianetnews_raj
Times Now,http://samuelwongvv.serv00.net/Smartv.php?id=timesnow_mega
BBC Earth Tamil,http://samuelwongvv.serv00.net/Smartv.php?id=bbcearthtam_raj
Discovery World Tamil,http://samuelwongvv.serv00.net/Smartv.php?id=discoveryworldtam_raj
History Tamil,http://samuelwongvv.serv00.net/Smartv.php?id=historytam_raj
NatGeo Tamil,http://samuelwongvv.serv00.net/Smartv.php?id=natgeotamil_raj
Natgeo Wild Tamil,http://samuelwongvv.serv00.net/Smartv.php?id=natgeowildtamil_raj
Discovery Kids Tamil,http://samuelwongvv.serv00.net/Smartv.php?id=discoverykidtamil_raj
